respondent_id,age,gender,location,group,enrolled,last_update,level,number_check,time_spent_in_treatment_or_control,pre_positive_affect,pre_negative_affect,post_positive_affect,post_negative_affect,pre_scared,post_scared,pre_ashamed,post_ashamed,pre_distressed,post_distressed,pre_irritable,post_irritable,pre_hostile,post_hostile,pre_attentive,post_attentive,pre_excited,post_excited,pre_strong,post_strong,pre_active,post_active,pre_jittery,post_jittery,pre_alert,post_alert,pre_afraid,post_afraid,pre_determined,post_determined,pre_nervous,post_nervous,pre_proud,post_proud,pre_interested,post_interested,pre_guilty,post_guilty,pre_ethusiastic,post_ethusiastic,pre_upset,post_upset,pre_inspired,post_inspired
24,26,female,United States,ROO,2018-11-17 01:18:38.708246+00:00,2018-11-17 01:21:51.608501+00:00,7,0,0,26,27,18,26,3,2,2,2,3,2,5,2,2,1,4,3,1,2,3,4,3,2,2,0,4,3,2,2,4,4,3,3,1,2,3,2,3,2,1,2,2,2,2,2
25,25,male,United States,RO,2018-11-17 01:22:27.974986+00:00,2018-11-17 01:23:18.119645+00:00,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,25,female,United States,RO,2018-11-17 01:32:38.782377+00:00,2018-11-17 01:36:05.459238+00:00,7,0,0,0,0,15,20,0,1,0,1,0,2,0,1,0,1,0,3,0,3,0,1,0,4,0,1,0,2,0,1,0,2,0,1,0,2,0,2,0,1,0,4,0,1,0,1
27,32,male,Kenya,ROXO,2018-11-17 01:46:18.703943+00:00,2018-11-17 01:46:18.917251+00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,female,United States,ROXO,2018-11-17 01:47:34.454053+00:00,2018-11-17 01:53:51.607042+00:00,6,0,238.225232,26,38,0,0,1,0,1,0,4,0,3,0,1,0,3,0,5,0,5,0,4,0,1,0,4,0,2,0,5,0,4,0,2,0,4,0,2,0,5,0,3,0,5,0
29,30,female,United States,ROO,2018-11-17 01:57:46.015614+00:00,2018-11-17 02:00:18.067241+00:00,7,0,0,28,39,29,41,2,2,1,1,3,2,3,4,2,2,4,5,4,5,5,4,5,5,3,4,4,5,1,2,5,5,5,4,4,4,4,5,1,1,4,5,2,2,5,3
30,36,male,Kenya,RO,2018-11-17 03:07:01.091136+00:00,2018-11-17 03:13:46.047357+00:00,7,0,0,0,0,27,23,0,3,0,2,0,3,0,2,0,2,0,2,0,3,0,2,0,3,0,2,0,3,0,3,0,3,0,2,0,2,0,2,0,4,0,2,0,3,0,2
31,27,male,United States,ROXO,2018-11-17 03:46:12.767672+00:00,2018-11-17 03:57:52.832488+00:00,7,0,447.386354,19,27,22,29,1,1,1,3,3,3,1,2,1,1,3,3,3,3,4,3,3,3,1,1,3,3,2,2,4,3,2,2,3,3,3,3,2,3,3,3,1,3,2,3
32,29,male,Kenya,ROXO,2018-11-17 03:56:25.544474+00:00,2018-11-17 03:56:25.773256+00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,23,male,Kenya,ROO,2018-11-17 04:03:40.900200+00:00,2018-11-17 04:20:50.586140+00:00,7,0,0,20,30,19,23,2,1,2,2,2,2,4,1,1,2,3,2,4,3,3,3,1,3,2,1,2,1,2,2,3,2,2,1,2,3,3,4,3,1,3,3,2,2,4,3
34,34,male,Kenya,ROXO,2018-11-17 04:18:55.500811+00:00,2018-11-17 04:21:54.339879+00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,23,female,United States,ROXO,2018-11-17 04:27:14.830550+00:00,2018-11-17 05:14:52.274705+00:00,7,7,2646.046636,27,25,22,28,5,4,1,1,3,1,1,1,2,2,3,3,2,3,4,4,3,3,2,2,3,3,4,2,2,3,2,2,4,4,3,3,1,1,2,3,2,2,3,3
36,32,male,Kenya,ROXO,2018-11-17 05:17:43.359763+00:00,2018-11-17 05:23:46.987133+00:00,7,0,96.24822,20,28,12,25,2,1,1,2,1,1,2,1,1,1,4,4,3,3,3,2,2,2,1,1,3,4,3,2,4,4,4,2,2,2,4,0,1,1,3,1,1,1,3,2
37,29,female,Kenya,ROO,2018-11-17 05:46:49.416065+00:00,2018-11-17 05:53:38.528661+00:00,7,0,0,15,27,14,25,1,1,1,1,1,1,2,1,2,1,3,2,3,3,2,3,2,3,1,1,4,3,1,1,4,3,1,1,3,3,4,3,1,1,2,3,1,1,3,3
38,33,female,United States,ROO,2018-11-17 07:31:07.329831+00:00,2018-11-17 07:35:31.127330+00:00,7,0,0,23,37,21,38,3,2,1,1,2,1,2,2,1,1,4,4,4,4,5,5,4,4,1,1,4,4,2,2,4,4,2,2,5,5,5,4,2,1,4,4,1,3,4,5
39,58,male,Kenya,ROXO,2018-11-17 09:33:36.913801+00:00,2018-11-17 09:36:24.210203+00:00,6,0,37.812433,27,33,0,0,2,0,2,0,3,0,2,0,4,0,3,0,3,0,4,0,3,0,3,0,4,0,3,0,4,0,3,0,3,0,3,0,1,0,4,0,2,0,4,0
40,39,male,Kenya,ROO,2018-11-17 10:55:39.255361+00:00,2018-11-17 10:59:51.627353+00:00,7,0,0,37,24,36,21,5,5,5,1,5,5,4,5,2,1,4,3,1,1,2,2,2,2,5,5,4,2,5,5,1,2,5,5,1,1,2,2,1,1,1,2,5,5,1,2
41,27,male,Kenya,ROO,2018-11-17 11:21:09.360701+00:00,2018-11-17 11:26:57.154091+00:00,7,0,0,20,30,18,29,1,1,1,1,2,2,1,1,1,1,3,4,4,3,3,3,3,3,1,2,4,4,1,1,4,3,3,1,2,3,4,4,1,1,4,3,3,2,4,4
42,30,female,United States,ROXO,2018-11-17 19:56:59.460475+00:00,2018-11-17 20:02:16.054874+00:00,7,7,197.321768,35,27,34,27,5,4,1,1,4,5,5,5,4,5,3,3,2,2,3,3,1,3,4,1,4,3,5,4,3,3,4,3,2,3,3,4,1,1,2,1,4,4,2,3
43,26,female,United States,RO,2018-11-17 20:03:09.846675+00:00,2018-11-17 20:03:40.444884+00:00,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,30,female,United States,ROXO,2018-11-17 20:04:21.217754+00:00,2018-11-17 20:05:27.762176+00:00,4,0,0,16,24,0,0,2,0,1,0,1,0,2,0,1,0,3,0,3,0,2,0,2,0,1,0,3,0,2,0,3,0,2,0,2,0,3,0,1,0,3,0,1,0,2,0
45,42,male,United States,RO,2018-11-17 20:22:39.466785+00:00,2018-11-17 20:25:09.052666+00:00,7,0,0,0,0,12,16,0,1,0,1,0,1,0,1,0,1,0,3,0,2,0,1,0,1,0,1,0,3,0,1,0,1,0,1,0,2,0,3,0,1,0,1,0,1,0,1
46,26,female,United States,ROO,2018-11-17 20:30:59.698959+00:00,2018-11-17 20:34:55.351659+00:00,7,0,0,16,16,12,15,2,1,1,1,2,1,1,1,1,1,2,2,3,3,1,1,1,1,2,1,2,2,1,1,1,1,3,3,1,1,2,1,1,1,2,2,1,1,2,1
47,27,male,United States,ROO,2018-11-17 20:35:21.096372+00:00,2018-11-17 20:39:26.416410+00:00,7,0,0,23,28,19,26,1,1,1,1,2,2,3,1,1,1,3,3,4,3,3,3,4,3,1,1,4,3,1,1,3,3,3,2,2,2,5,5,1,1,2,4,4,2,3,3
48,27,female,United States,RXO,2018-11-17 21:00:02.762348+00:00,2018-11-17 21:01:48.558796+00:00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,25,male,United States,ROXO,2018-11-17 21:41:30.611569+00:00,2018-11-17 21:41:30.790527+00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,99,female,United States,ROXO,2018-11-17 21:53:04.543460+00:00,2018-11-17 21:53:04.725776+00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,25,male,India,RXO,2018-11-17 21:54:37.317216+00:00,2018-11-17 21:56:04.634296+00:00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,25,male,India,RO,2018-11-17 21:56:22.216869+00:00,2018-11-17 21:57:38.711887+00:00,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,29,male,United States,RO,2018-11-17 22:22:02.013427+00:00,2018-11-17 22:25:35.802046+00:00,7,0,0,0,0,13,11,0,1,0,1,0,1,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,0,1,0,1,0,1,0,1
